Provider,Domain,Check,Risk,Status
"AWS","Cloud data security","Data classification policy exists","HIGH","Fail"
"AWS","Cloud data security","Encryption at rest enforced","CRITICAL","Fail"
"AWS","Cloud data security","Encryption in transit (TLS 1.2+)","HIGH","Partial"
"AWS","Cloud data security","Data residency requirements defined","MEDIUM","Fail"
"AWS","Cloud data security","DLP controls implemented","HIGH","Fail"
"AWS","Cloud infrastructure security","Network segmentation (VPC/VNet)","CRITICAL","Pass"
"AWS","Cloud infrastructure security","Internet exposure minimised","HIGH","Fail"
"AWS","Cloud infrastructure security","Infrastructure as Code (IaC)","MEDIUM","Partial"
"AWS","Cloud infrastructure security","Vulnerability scanning enabled","HIGH","Fail"
"AWS","Cloud infrastructure security","Patch management process active","HIGH","Partial"
"AWS","Identity & access management","Principle of least privilege enforced","CRITICAL","Fail"
"AWS","Identity & access management","MFA required for all human accounts","CRITICAL","Fail"
"AWS","Identity & access management","Service account key rotation","HIGH","Fail"
"AWS","Identity & access management","Privileged access reviewed quarterly","MEDIUM","Fail"
"AWS","Identity & access management","SSO / federated identity used","MEDIUM","Partial"
"AWS","Cloud application security","Secrets management solution","CRITICAL","Fail"
"AWS","Cloud application security","SAST/DAST in CI/CD pipeline","HIGH","Fail"
"AWS","Cloud application security","Container image scanning","HIGH","Fail"
"AWS","Cloud application security","WAF deployed for public apps","HIGH","Pass"
"AWS","Cloud application security","Dependency/SCA scanning","MEDIUM","Fail"
"AWS","Cloud security operations","Centralised logging & SIEM","HIGH","Fail"
"AWS","Cloud security operations","Threat detection enabled","HIGH","Partial"
"AWS","Cloud security operations","Alerts reviewed and triaged","HIGH","Fail"
"AWS","Cloud security operations","Cloud security posture (CSPM) tool","MEDIUM","Fail"
"AWS","Cloud security operations","Incident response runbooks exist","MEDIUM","Partial"
"AWS","Compliance & legal","Shared responsibility model documented","MEDIUM","Fail"
"AWS","Compliance & legal","Cloud provider certifications verified","LOW","Pass"
"AWS","Compliance & legal","Data processing agreements in place","HIGH","Pass"
"AWS","Compliance & legal","Cloud exit/portability strategy","LOW","Fail"
